choroba;hosp_tak;hosp_n;hosp_proc;dom_tak;dom_n;dom_proc;OR;CI_95%;p_value
dm;39;81;48.148148148148145;17;71;23.943661971830984;2.8944537815126052;1.45-5.78;0.0024184519561947174
wątroba;17;81;20.98765432098765;8;71;11.267605633802818;2.026903784769722;0.83-4.93;0.127537867802536
naczyniowe;68;80;85.0;48;71;67.6056338028169;2.6552577319587627;1.22-5.78;0.012804516979743968
zza;9;82;10.975609756097562;7;71;9.859154929577464;1.1115646258503402;0.40-3.06;1.0
npl;16;82;19.51219512195122;5;71;7.042253521126761;3.0;1.08-8.35;0.033274342548081065
