zmienna;VIF
const;1241.2157994909544
wiek;1.11454308982371
log_crp(0-0,5);1.2213082598892018
SpO2;1.1305123630575584
log_kreatynina(0,5-1,2);1.2727923351964192
MAP;1.1318464597346398
log_troponina I (0-7,8));1.2619525094492166
