zmienna;VIF
const;1358.618925448875
wiek;1.2171923674620075
SpO2;1.144203908813856
MAP;1.1595461148442914
HGB(12,4-15,2);1.386799832847202
log_crp(0-0,5);1.3798491416587004
log_troponina I (0-7,8));1.2753783333745856
log_kreatynina(0,5-1,2);1.2935704945299475
