parametr;etykieta;beta;OR;ci_low;ci_high;CI_95%;p_value
wiek;Wiek, lata;-0.001703430544442129;0.9982980194699179;0.9687733838801265;1.028722456934136;0.97-1.03;0.9114494874366461
SpO2;Saturacja, %;-0.4667701446093636;0.6270241987418447;0.480327718748071;0.8185231259036749;0.48-0.82;0.0005977565411234794
MAP;Średnie ciśnienie tętnicze, mmHg;0.013897901401525624;1.0139949261924837;0.9896405997698571;1.038948594654673;0.99-1.04;0.26252638671986406
HGB(12,4-15,2);Hemoglobina, g/dL;-0.3707942421392874;0.6901859381319564;0.5357813844833931;0.8890876820111951;0.54-0.89;0.0041067988834041684
log_crp(0-0,5);log(CRP);0.5987573745847939;1.8198559954602467;1.05803190827666;3.130223028535164;1.06-3.13;0.030477903514384418
log_troponina I (0-7,8));log(troponina I);0.46491287322756303;1.5918754878715233;1.097143777579029;2.309695065197294;1.10-2.31;0.014358693280547575
log_kreatynina(0,5-1,2);log(kreatynina);1.0514034074219472;2.8616643823153134;0.3463213046580442;23.64602733608312;0.35-23.65;0.32915737560055736
